name,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost,Emissions,End use cost
Unit,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh,kg/MWh,$/MWh
scenario,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
year,2025,2025,2030,2030,2035,2035,2040,2040,2045,2045,2050,2050,2025,2025,2030,2030,2035,2035,2040,2040,2045,2045,2050,2050,2025,2025,2030,2030,2035,2035,2040,2040,2045,2045,2050,2050
parameter,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost,emission_rate,energy_cost
label,scen1_lrmer_co2e_2025,scen1_energy_cost_enduse_2025,scen1_lrmer_co2e_2030,scen1_energy_cost_enduse_2030,scen1_lrmer_co2e_2035,scen1_energy_cost_enduse_2035,scen1_lrmer_co2e_2040,scen1_energy_cost_enduse_2040,scen1_lrmer_co2e_2045,scen1_energy_cost_enduse_2045,scen1_lrmer_co2e_2050,scen1_energy_cost_enduse_2050,scen2_lrmer_co2e_2025,scen2_energy_cost_enduse_2025,scen2_lrmer_co2e_2030,scen2_energy_cost_enduse_2030,scen2_lrmer_co2e_2035,scen2_energy_cost_enduse_2035,scen2_lrmer_co2e_2040,scen2_energy_cost_enduse_2040,scen2_lrmer_co2e_2045,scen2_energy_cost_enduse_2045,scen2_lrmer_co2e_2050,scen2_energy_cost_enduse_2050,scen3_lrmer_co2e_2025,scen3_energy_cost_enduse_2025,scen3_lrmer_co2e_2030,scen3_energy_cost_enduse_2030,scen3_lrmer_co2e_2035,scen3_energy_cost_enduse_2035,scen3_lrmer_co2e_2040,scen3_energy_cost_enduse_2040,scen3_lrmer_co2e_2045,scen3_energy_cost_enduse_2045,scen3_lrmer_co2e_2050,scen3_energy_cost_enduse_2050
,246.4,24.65,204.1,17.37,121.8,17.97,24.9,19.91,9.7,16.61,44.6,18,218,19.04,247.4,17.37,109.3,16.33,33.6,19.61,33.7,15.51,21.3,14.77,192.3,22.76,242.2,17.55,107.8,18.05,9.2,23.38,4.5,18.97,25.7,11.48
,228.8,20.56,214.2,14.37,110.1,15.22,29,16.26,29.1,15.9,28.4,17.95,193.5,18.72,249.4,14.37,101.8,14.61,46.8,18.28,34.6,15.47,22.8,14.73,156,20.46,241.4,15.51,121.1,17.36,29.5,19.97,16.3,18.92,17.4,8.85
,283,19.1,213.7,14.8,115,15.16,9.7,16.18,13.2,15.82,49.1,17.85,190.9,18.22,265.7,14.8,105.9,14.55,19.3,18.23,33.9,15.39,18.1,14.65,153.8,19.25,212.7,15.02,117.2,14.9,8.3,15.62,10.1,17.08,17.2,8.8
,225.9,21.03,209.1,14.65,107.3,15.07,19.3,16.16,14,15.79,23.9,17.83,190.5,18.27,267.3,14.65,103.4,14.46,28.5,18.2,20.5,15.36,28.1,14.63,146.4,20.21,216.4,14.8,115.4,14.81,10.9,13.4,30.7,16.99,17.5,8.79
,295.3,18.99,211,14.54,118.5,15.04,24.1,16.13,2.5,15.76,28.4,17.78,252.5,15.73,268.1,14.54,111,14.42,21.4,18.18,21.5,15.33,22.9,14.59,162.1,17.19,220.3,14.75,135.8,14.77,12.6,13.21,31.5,4.45,19.4,1.48
,327.8,18.98,231.3,17.13,105.1,15.05,23.2,19.71,15.4,15.75,33.1,17.78,305.4,15.72,264.8,17.13,115.2,14.43,21,18.74,35.4,15.33,8.2,14.59,218.9,17.18,225.8,17.07,130.2,17.41,13.3,16.06,26.2,8.67,22.6,8.72
,344.5,22.37,225,17.16,126.7,18.18,6.5,19.76,40.3,19.75,19,22.47,308.2,18.82,247.5,17.16,113,20.42,14.8,18.9,42.2,19.21,26.6,18.44,290.1,20.25,220.2,17.41,137.7,17.87,20.2,18.9,22,21.11,26.2,10.99
,340.7,18.85,223.1,17.03,130.6,18.08,7.5,19.58,32.3,19.67,32.7,22.52,312.2,14.14,262.1,17.03,113.3,20.39,21.3,18.72,46.9,19.18,28.8,18.47,281.6,17.06,224.4,17.28,126,17.77,24.5,18.94,7.6,21.15,31.6,11.11
,345.6,12.65,230,14.47,84.9,18.09,10,10.63,27.3,10.53,19.8,0.64,315.1,13.83,266,14.47,93.1,20.43,12.3,16.18,16.6,9.77,10,9.48,297,15.39,242,14.68,128.3,17.75,26.5,19.26,5,21.5,37.5,11.11
